APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Mgmt Contact Phone,lon,lat,Property on map
4371008018,7/29/2022 0:00,Single Family,1643 N BEVERLY GLEN BLVD,LOS ANGELES,CA,90077,5,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.44449,34.10044,POINT (-118.44449 34.10044)
4431010052,4/5/2022 0:00,Single Family,17191 W PALISADES CIR,PACIFIC PALISADES,CA,90272,11,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.56216,34.07721,POINT (-118.56216 34.07721)
2724002076,3/31/2022 0:00,Single Family,10120  LARWIN,LOS ANGELES,CA,99999,12,MIDFIRST BANK,ERIK KENNER,405-426-1280,CYPREXX SERVICES C/O New Beginning Properties Inc.,Lourdes Chavez,525  W GRAND REGENCY BLV BLVD  BRANDON FL 33510,877-339-8202,-118.61534,34.25454,POINT (-118.61534 34.25454)
6032017045,6/24/2022 0:00,Single Family,603 W 85TH ST,LOS ANGELES,CA,90044,8,Reverse Mortgage Solutions,Josefina Scott,832-616-5907,KMC Landscaping Services,Ryan Hague,42263  SW 50th ST  Lancaster CA 93536,215-422-3914,-118.28419,33.96123,POINT (-118.28419 33.96123)
5477015026,4/14/2022 0:00,Single Family,1044 N DEXTER ST,LOS ANGELES,CA,90042,1,Creative Investment,Patty Reyes,818-841-2400,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.20776,34.11825,POINT (-118.20776 34.11825)
2626018014,8/3/2022 0:00,Single Family,13038 W CHASE ST,LOS ANGELES,CA,91331,7,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.41642,34.24049,POINT (-118.41642 34.24049)
2676006016,1/21/2022 0:00,Single Family,9316 N DEBRA AVE,LOS ANGELES,CA,91343,12,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Computershare,Computershare Management,6200  S Quebec ST  Greenwood Village CO 80111,303-518-3327,-118.4904,34.23974,POINT (-118.4904 34.23974)
2151011024,1/4/2022 0:00,Single Family,5700 N MCDONIE AVE,LOS ANGELES,CA,91367,3,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.57608,34.17426,POINT (-118.57608 34.17426)
4403016017,11/1/2022 0:00,Single Family,383 N SKYEWIAY ROAD,LOS ANGELES,CA,90049,11,WELL FARGO BANK N.A,Brock Nekvinda,877-617-5274,WELL FARGO BANK NA,Brock Nekvinda,232  E 2ND ST STE G LOS ANGELES CA 90012,877-617-5274,-118.48128,34.0657,POINT (-118.48128 34.0657)
2229032002,2/16/2022 0:00,Single Family,17353 W VICTORY BLVD,LOS ANGELES,CA,91406,6,"JPMorgan Chase Bank, N.A.",Operations Specialist I,888-310-1506,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.51183,34.18691,POINT (-118.51183 34.18691)
2701075150,8/29/2022 0:00,Single Family,20333 W PASEO MERIANA,LOS ANGELES,CA,91326,12,Bank of The West,Nuvia Shuttin,800-545-8180,Bank of The West,Karolin Youdin,20516   Devonshire ST  Chatsworth CA 91311,818-739-0777,-118.57676,34.27507,POINT (-118.57676 34.27507)
6038017041,1/5/2022 0:00,Multi-Family,8622 1/2 S BARING CROSS ST,LOS ANGELES,CA,90044,8,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.2892,33.95925,POINT (-118.2892 33.95925)
2545024008,12/13/2022 0:00,Single Family,9101 W LA TUNA CANYON RD,LOS ANGELES,CA,91352,7,Cenlar FSB,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.33153,34.23661,POINT (-118.33153 34.23661)
2126017001,1/7/2022 0:00,Single Family,18736 W HART ST,LOS ANGELES,CA,91335,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.54176,34.19753,POINT (-118.54176 34.19753)
5092011026,10/6/2022 0:00,Single Family,4085 W 8TH ST,LOS ANGELES,CA,90005,5,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.31728,34.05823,POINT (-118.31728 34.05823)
6032031026,1/5/2022 0:00,Single Family,426 W 81ST ST,LOS ANGELES,CA,90003,8,Security National Servicing Corp,Eric Moore,877-338-3791,First Allegiance,John Concepcion,473   Broadway 5th Fl AVE  Bayonne NJ 7002,201-746-8715,-118.28141,33.96583,POINT (-118.28141 33.96583)
7442030161,4/11/2022 0:00,Single Family,27980 S WESTERN AVE,LOS ANGELES,CA,90732,15,JP Morgan Chase NA,Amy Lott,888-310-1506,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.31061,33.76578,POINT (-118.31061 33.76578)
2780021010,12/30/2022 0:00,Single Family,20502 W CHASE ST,LOS ANGELES,CA,91306,3,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.58012,34.22447,POINT (-118.58012 34.22447)
5592023007,1/14/2022 0:00,Multi-Family,3301 N LOWRY RD,LOS ANGELES,CA,90027,4,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Computershare,Computershare Management,6200  S Quebec ST  Greenwood Village CO 80111,303-518-3327,-118.27919,34.11371,POINT (-118.27919 34.11371)
7445005055,1/3/2022 0:00,Single Family,1446 W BRETT PL,SAN PEDRO,CA,90732,15,PHH Mortgage Corporation,Marquita Bullock,561-682-7547,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.30862,33.75681,POINT (-118.30862 33.75681)
5223009003,1/25/2022 0:00,Vacant Residential,2008 N MARIANNA AVE,LOS ANGELES,CA,90032,14,"Cardenas Three, LLC",Elizabeth Velasquez,909-315-2746,"Cardenas Three, LLC",Elizabeth Velasquez,12223   Highland AVE  Rancho Cucamonga CA 91739,909-315-2746,-118.17744,34.06631,POINT (-118.17744 34.06631)
5082013007,1/5/2022 0:00,Multi-Family,4434 1/2 W VICTORIA PARK PL,LOS ANGELES,CA,90019,10,SN Servicing Corp,Eric Moore,877-338-3791,First Allegiance,John Concepcion,473   Broadway 5th Fl AVE  Bayonne NJ 7002,201-746-8715,-118.33202,34.04643,POINT (-118.33202 34.04643)
5002029017,5/29/2022 0:00,Multi-Family,1151 W 52ND ST,LOS ANGELES,CA,90037,9,Real Time Resolutions,DAVID ROSAS,888-895-0221,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.29538,33.99518,POINT (-118.29538 33.99518)
5046018001,1/4/2022 0:00,Single Family,3500 S MUIRFIELD ROAD,LOS ANGELES,CA,90016,10,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.3421,34.0232,POINT (-118.3421 34.0232)
2027043022,1/20/2022 0:00,Single Family,7301 N RUTHERFORD HILL DR,LOS ANGELES,CA,91307,12,"Mr. Cooper/Nationstar Mortgage, LLC.",Mr. Cooper,888-456-0714,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,844-488-7447,-118.65129,34.20365,POINT (-118.65129 34.20365)
4103017028,1/6/2022 0:00,Single Family,7136 S GLASGOW AVE,LOS ANGELES,CA,90045,11,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Computershare,Computershare Management,6200  S Quebec ST  Greenwood Village CO 80111,303-518-3327,-118.37233,33.9711,POINT (-118.37233 33.9711)
5548001029,9/2/2022 0:00,Single Family,7135  HOLLYWOOD BLVD,LOS ANGELES,CA,90046,4,Fay Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,7887   Safeguard Cir  Valley View OH 44125,800-852-8306,-118.34629,34.10175,POINT (-118.34629 34.10175)
2666019017,8/12/2022 0:00,Single Family,11129 N COLLETT AVE,LOS ANGELES,CA,91344,12,Mr. Cooper,Customer Servicing,877-289-0500,SERVICELINK,CLIENT SERVICES,11802   Ridge PKWY 100 Broomfield CO 80021,877-847-8544,-118.48373,34.27282,POINT (-118.48373 34.27282)
5430027020,8/1/2022 0:00,Single Family,3914 W FERNWOOD AVE,LOS ANGELES,CA,90027,4,Reverse Mortgage Solutions,Josefina Scott,832-616-5907,KMC Landscaping Services,Ryan Hague,42263  SW 50th ST  Lancaster CA 93536,215-422-3914,-118.27779,34.09623,POINT (-118.27779 34.09623)
2618018003,3/24/2022 0:00,Multi-Family,10489 N LAUREL CANYON BLVD,LOS ANGELES,CA,91331,7,Security National Servicing Corp,Eric Moore,877-338-3791,First Allegiance,John Concepcion,473   Broadway 5th Fl AVE  Bayonne NJ 7002,201-746-8715,-118.43434,34.2606,POINT (-118.43434 34.2606)
5440030013,7/6/2022 0:00,Single Family,2467 N CORRALITAS DR,LOS ANGELES,CA,90039,13,Logix Federal Credit Union,Property Preservation Department,800-669-0340,EDWARD ZUBIA  no unit number,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,-118.25269,34.0988,POINT (-118.25269 34.0988)
2723020119,12/7/2022 0:00,Single Family,22228 W SHADOW VALLEY CIR,LOS ANGELES,CA,91311,12,WELL FARGO BANK N.A,Brock Nekvinda,877-617-5274,WELL FARGO BANK NA,Brock Nekvinda,232  E 2ND ST STE G LOS ANGELES CA 90012,877-617-5274,-118.61304,34.27608,POINT (-118.61304 34.27608)
2375007068,8/29/2022 0:00,Single Family,4348 N COLDWATER CANYON AVE,LOS ANGELES,CA,91604,4,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Cyprexx - Physical Address,Code Compliance,525   Grand Regency BLVD  Brandon FL 33510,813-387-5891,-118.41359,34.14958,POINT (-118.41359 34.14958)
2013009036,2/17/2022 0:00,Single Family,7814 N VICKY AVE,LOS ANGELES,CA,93063,12,Trinity Financial Services,Don Madden,949-313-6161,"Trinity Financial Services, LLC",Don Madden,2618   San Miguel DR 303 Newport Beach CA 92660,949-313-6161,-118.61933,34.21241,POINT (-118.61933 34.21241)
4008016004,9/15/2022 0:00,Single Family,6748 S 3RD AVE,LOS ANGELES,CA,90043,8,Reverse Mortgage Solutions,Josefina Scott,832-616-5907,KMC Landscaping Services,Ryan Hague,42263  SW 50th ST  Lancaster CA 93536,215-422-3914,-118.32054,33.97688,POINT (-118.32054 33.97688)
4402010076,11/7/2022 0:00,Single Family,11953 W SUNSET BLVD 1-5,LOS ANGELES,CA,90049,11,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.47361,34.06259,POINT (-118.47361 34.06259)
2182018011,1/2/2022 0:00,Single Family,4567 N WHITE OAK PL,LOS ANGELES,CA,91316,4,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,SAFEGUARD PROPERTEIS,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.52201,34.15347,POINT (-118.52201 34.15347)
5114008012,1/4/2022 0:00,Single Family,788 E 40TH PL,LOS ANGELES,CA,90011,9,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.26187,34.00973,POINT (-118.26187 34.00973)
5434028003,6/21/2022 0:00,Multi-Family,2862 N AVENEL ST,LOS ANGELES,CA,90039,4,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.26802,34.11011,POINT (-118.26802 34.11011)
7467004031,4/6/2022 0:00,Multi-Family,3244 S KERCKHOFF AVE,SAN PEDRO,CA,90731,15,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.28961,33.7143,POINT (-118.28961 33.7143)
5003023030,10/12/2022 0:00,Single Family,1514 W 55TH ST,LOS ANGELES,CA,90062,8,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.30286,33.99224,POINT (-118.30286 33.99224)
5139010080,1/18/2022 0:00,Single Family,325 W 11TH ST,LOS ANGELES,CA,90015,14,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Computershare,Computershare Management,6200  S Quebec ST  Greenwood Village CO 80111,303-518-3327,-118.26163,34.04148,POINT (-118.26163 34.04148)
5515002022,6/7/2022 0:00,Single Family,167 S HUDSON AVE,LOS ANGELES,CA,90004,5,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Pacific Star Contracting Services Inc,April Soto,15400   Belgrade Street 86 ST  WESTMINSTER CA 92683,631-806-2657,-118.33354,34.07196,POINT (-118.33354 34.07196)
5160022010,11/21/2022 0:00,Single Family,425 N BOYLSTON ST,LOS ANGELES,CA,90012,1,Fay Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.25313,34.06445,POINT (-118.25313 34.06445)
5564011012,6/22/2022 0:00,Single Family,8751 W WONDERLAND PARK AVE,LOS ANGELES,CA,90046,4,PLM LENDER SERVICES,LIZ KNIGHT,408-370-4030,NULL,NULL,,NULL,-118.38557,34.11397,POINT (-118.38557 34.11397)
5207005011,1/6/2022 0:00,Multi-Family,3637 1/2 N GRIFFIN AVE,LOS ANGELES,CA,90031,1,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.20834,34.08732,POINT (-118.20834 34.08732)
2231005030,6/21/2022 0:00,Single Family,16413 W VICTORY BLVD,LOS ANGELES,CA,91406,6,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.49074,34.18684,POINT (-118.49074 34.18684)
5548001129,2/1/2022 0:00,Single Family,7135  HOLLYWOOD BLVD,LOS ANGELES,CA,90046,4,Sound Equity High Income Debt Fund LLC,Julie Williams,425-375-0679,Sound Capital,Ken Hanson,2099  S State College BLVD  Temecula CA 92806,206-790-5277,-118.34629,34.10175,POINT (-118.34629 34.10175)
5023003010,12/5/2022 0:00,Multi-Family,4058 S CREED AVE,LOS ANGELES,CA,90008,10,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Guardian,GARD GARD,2300  E Lincoln HWY 700 Langhorne PA 19057,888-872-9094,-118.32469,34.01058,POINT (-118.32469 34.01058)
4305030014,11/4/2022 0:00,Single Family,9224 W MONTE MAR DR,LOS ANGELES,CA,90035,5,JPMORGAN CHASE BANK N.A.,OPERATIONS SPECIALIST,888-310-1506,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.39074,34.04781,POINT (-118.39074 34.04781)
2178021011,1/13/2022 0:00,Single Family,4371 N VANALDEN AVE,LOS ANGELES,CA,91356,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.55543,34.14963,POINT (-118.55543 34.14963)
6015004010,1/4/2022 0:00,Multi-Family,1732 1/2 W 64TH ST,LOS ANGELES,CA,90047,8,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.30795,33.9813,POINT (-118.30795 33.9813)
2535006017,9/30/2022 0:00,Single Family,13363 W FILMORE ST,LOS ANGELES,CA,91331,7,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.42396,34.27015,POINT (-118.42396 34.27015)
5163025009,11/30/2022 0:00,Non-Residential,1129 E 5TH ST,LOS ANGELES,CA,90013,14,"CPIF California, LLC",Michael Sidlow,415-957-3169,NULL,NULL,,NULL,-118.23642,34.04212,POINT (-118.23642 34.04212)
6059003024,4/15/2022 0:00,Single Family,10031 S LA SALLE AVE,LOS ANGELES,CA,90047,8,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,"A2Z HOMES, INC.",TRAVIS AZEVEDO,2204  W Oceanfront  C Newport Beach CA 92663,949-734-9606,-118.30586,33.94447,POINT (-118.30586 33.94447)
5524031017,12/19/2022 0:00,Single Family,419 N HIGHLAND AVE,LOS ANGELES,CA,90036,5,Fay Servicing LLC,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.33876,34.0789,POINT (-118.33876 34.0789)
5537005015,5/17/2022 0:00,Multi-Family,5434 W LA MIRADA AVE,LOS ANGELES,CA,90029,13,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Cyprexx - Physical Address,Code Compliance,525   Grand Regency BLVD  Brandon FL 33510,813-387-5891,-118.30804,34.09379,POINT (-118.30804 34.09379)
2362013029,5/5/2022 0:00,Single Family,4453 N COLDWATER CANYON AVE,LOS ANGELES,CA,91604,4,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,The Herac Group,Torres Rose,11030   Arrow RE  RANCHO CUCAMONGA CA 91730,909-481-1100,-118.41397,34.1519,POINT (-118.41397 34.1519)
5063009080,1/24/2022 0:00,Multi-Family,2131 S CLOVERDALE AVE,LOS ANGELES,CA,90016,10,damoder reddy,damoder reddy,310-541-8198,damoder reddy,damoder reddy,68   portuguese bend ROAD  rolling hills CA 90274,310-541-8198,-118.35509,34.03855,POINT (-118.35509 34.03855)
5504014047,11/7/2022 0:00,Single Family,335 S WESTMINSTER AVE,LOS ANGELES,CA,90020,13,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.31637,34.06796,POINT (-118.31637 34.06796)
2032032006,11/14/2022 0:00,Single Family,24752 W GILMORE ST,LOS ANGELES,CA,91307,12,Selene Finance LP,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.66466,34.18471,POINT (-118.66466 34.18471)
7420023013,1/11/2022 0:00,Single Family,1053 N MARINE AVE,LOS ANGELES,CA,90744,15,"McMillen Capital, LLC",John Bennet,714-367-6536,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.26422,33.78432,POINT (-118.26422 33.78432)
4311032016,6/27/2022 0:00,Single Family,8954 W KRAMERWOOD PL,LOS ANGELES,CA,90034,10,LoanCare LLC,Eric MOORE,877-338-3791,SERVICELINK,CLIENT SERVICES,11802   Ridge PKWY 100 Broomfield CO 80021,877-847-8544,-118.38865,34.03322,POINT (-118.38865 34.03322)
5101010022,9/9/2022 0:00,Multi-Family,312 E 55TH ST,LOS ANGELES,CA,90011,9,PNC MORTGAGE PRESALE,THOMAS DAY,937-910-1200,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.26947,33.99229,POINT (-118.26947 33.99229)
6006017022,3/9/2022 0:00,Multi-Family,321 E 65TH ST,LOS ANGELES,CA,90003,9,Reverse Mortgage Funding,Property Registrations,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.26865,33.98073,POINT (-118.26865 33.98073)
6066014065,4/7/2022 0:00,Multi-Family,2311 E 107TH ST,LOS ANGELES,CA,90002,15,"360 MARKETING GROUP, INC., DEFINED BENEFITS PLAN",LLOYD RUCKER,949-463-4509,NULL,NULL,,NULL,-118.23025,33.93895,POINT (-118.23025 33.93895)
5060029001,1/6/2022 0:00,Single Family,2105 S 2ND AVE,LOS ANGELES,CA,90018,10,CARRINGTON MORTGAGE SERVICES LLC,MORTGAGE SERVICES,866-563-1100,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.31905,34.03779,POINT (-118.31905 34.03779)
5579009005,7/28/2022 0:00,Single Family,3245 N DE WITT DR,LOS ANGELES,CA,90068,4,U.S. Bank N.A.,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.34526,34.13289,POINT (-118.34526 34.13289)
4356021033,12/14/2022 0:00,Single Family,1316 N BEVERLY GROVE PL,LOS ANGELES,CA,90210,5,JEFFRY SCAPA,JEFFRY SCAPA,323-957-1710,NULL,NULL,,NULL,-118.42593,34.09607,POINT (-118.42593 34.09607)
2104031134,4/13/2022 0:00,Single Family,19230 W WYANDOTTE ST,LOS ANGELES,CA,91335,3,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Computershare,Computershare Management,6200  S Quebec ST  Greenwood Village CO 80111,303-518-3327,-118.55242,34.20281,POINT (-118.55242 34.20281)
5005023021,1/6/2022 0:00,Single Family,5727 S ST ANDREWS PL,LOS ANGELES,CA,90062,8,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.31148,33.99018,POINT (-118.31148 33.99018)
5504020013,1/20/2022 0:00,Multi-Family,410 S VAN NESS AVE,LOS ANGELES,CA,90020,13,"Mr. Cooper/Nationstar Mortgage, LLC.",Mr. Cooper,888-456-0714,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.31498,34.06667,POINT (-118.31498 34.06667)
2618019016,3/9/2022 0:00,Single Family,13863 W PINNEY ST,LOS ANGELES,CA,91331,7,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Computershare,Computershare Management,6200  S Quebec ST  Greenwood Village CO 80111,303-518-3327,-118.43523,34.25818,POINT (-118.43523 34.25818)
2245028008,7/12/2022 0:00,Single Family,5710 N CALHOUN AVE,VAN NUYS,CA,91401,4,Cardinal Finacial Company,Property Preservation,847-550-7410,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.44201,34.17423,POINT (-118.44201 34.17423)
2322011030,1/5/2022 0:00,Single Family,6751 N RADFORD AVE,LOS ANGELES,CA,91606,2,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.39228,34.19358,POINT (-118.39228 34.19358)
5001035007,12/8/2022 0:00,Multi-Family,438 W 53RD ST,LOS ANGELES,CA,90037,9,Freedom Mortgage,Shannon Powell,317-537-3714,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.28189,33.99404,POINT (-118.28189 33.99404)
2026013005,9/28/2022 0:00,Single Family,23109 W SCHOOLCRAFT ST,LOS ANGELES,CA,91307,12,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.63043,34.19698,POINT (-118.63043 34.19698)
4405036010,5/10/2022 0:00,Single Family,139 S CARMELINA AVE,LOS ANGELES,CA,90049,11,Bank of America c/o Reverse Mortgage Solutions,Josefina Scott,832-616-5907,KMC Landscaping Services,Ryan Hague,42263  SW 50th ST  Lancaster CA 93536,215-422-3914,-118.48063,34.05634,POINT (-118.48063 34.05634)
4114035026,1/6/2022 0:00,Single Family,7360 W COASTAL VIEW DR,LOS ANGELES,CA,90045,11,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Computershare,Computershare Management,6200  S Quebec ST  Greenwood Village CO 80111,303-518-3327,-118.42458,33.96405,POINT (-118.42458 33.96405)
2502024097,7/1/2022 0:00,Single Family,13901 W OLIVE VIEW LANE,LOS ANGELES,CA,91342,7,Cenlar FSB,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.44758,34.32396,POINT (-118.44758 34.32396)
5101016014,9/7/2022 0:00,Multi-Family,205 E 56TH ST,LOS ANGELES,CA,90011,9,Geraci LLP,Melissa Martorella,949-379-2600,ZVN Properties Inc,Arek Helcberger,957  E Cherry ST  Canal Fulton OH 44614,330-854-5890,-118.27156,33.99166,POINT (-118.27156 33.99166)
2010021013,6/14/2022 0:00,Single Family,8944 N NEVADA AVE,LOS ANGELES,CA,93063,12,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.60738,34.23317,POINT (-118.60738 34.23317)
6013018017,8/22/2022 0:00,Single Family,6625 S DENVER AVE,LOS ANGELES,CA,90044,8,Selene Finance LP,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.2839,33.97868,POINT (-118.2839 33.97868)
6018013027,12/14/2022 0:00,Single Family,7519 S DENKER AVE,LOS ANGELES,CA,90047,8,FlagStar,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.30479,33.97139,POINT (-118.30479 33.97139)
2535015020,1/4/2022 0:00,Single Family,13253 W PINNEY ST,LOS ANGELES,CA,91331,7,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.42141,34.2682,POINT (-118.42141 34.2682)
5057002014,1/31/2022 0:00,Single Family,2430 S HARCOURT AVE,LOS ANGELES,CA,90016,10,WELL FARGO BANK N.A,Brock Nekvinda,877-617-5274,WELL FARGO BANK NA,Brock Nekvinda,232  E 2ND ST STE G LOS ANGELES CA 90012,877-617-5274,-118.34541,34.03386,POINT (-118.34541 34.03386)
4431015184,10/12/2022 0:00,Single Family,1608 N MICHAEL LANE,LOS ANGELES,CA,90272,11,Selene Finance,Eric Moore,877-338-3791,SERVICELINK,CLIENT SERVICES,11802   Ridge PKWY 100 Broomfield CO 80021,877-847-8544,-118.565,34.07839,POINT (-118.565 34.07839)
